material,compressive_strain,stress_pa,image_x_px,image_y_px,basis
SM,0.0,0.0,395,221,zero_load_boundary_anchor
SM,0.050724637681159424,966.4948453608248,415,213.5,manual_figure_line_center
SM,0.10144927536231885,1159.7938144329896,435,212,manual_figure_line_center
SM,0.2003623188405797,1224.2268041237114,474,211.5,manual_figure_line_center
SM,0.29927536231884055,1224.2268041237114,513,211.5,manual_figure_line_center
SM,0.4007246376811594,1288.659793814433,553,211,manual_figure_line_center
SM,0.4996376811594202,1675.2577319587629,592,208,manual_figure_line_center
SM,0.601086956521739,2319.5876288659792,632,203,manual_figure_line_center
SM,0.6492753623188405,2899.4845360824743,651,198.5,manual_figure_line_center
SM,0.6644927536231883,2963.917525773196,657,198,manual_figure_line_center
MM,0.0,0.0,395,221,zero_load_boundary_anchor
MM,0.050724637681159424,1932.9896907216496,415,206,manual_figure_line_center
MM,0.10144927536231885,2706.185567010309,435,200,manual_figure_line_center
MM,0.2003623188405797,2835.0515463917527,474,199,manual_figure_line_center
MM,0.29927536231884055,3092.783505154639,513,197,manual_figure_line_center
MM,0.4007246376811594,3479.381443298969,553,194,manual_figure_line_center
MM,0.4996376811594202,4188.144329896907,592,188.5,manual_figure_line_center
MM,0.601086956521739,5798.969072164949,632,176,manual_figure_line_center
MM,0.6492753623188405,7216.494845360825,651,165,manual_figure_line_center
MM,0.6644927536231883,8182.98969072165,657,157.5,manual_figure_line_center
HM,0.0,0.0,395,221,zero_load_boundary_anchor
HM,0.050724637681159424,6185.567010309278,415,173,manual_figure_line_center
HM,0.10144927536231885,7667.525773195876,435,161.5,manual_figure_line_center
HM,0.2003623188405797,8118.556701030928,474,158,manual_figure_line_center
HM,0.29927536231884055,9020.61855670103,513,151,manual_figure_line_center
HM,0.4007246376811594,10373.711340206186,553,140.5,manual_figure_line_center
HM,0.4996376811594202,12306.701030927836,592,125.5,manual_figure_line_center
HM,0.601086956521739,17396.907216494845,632,86,manual_figure_line_center
HM,0.6492753623188405,22938.144329896906,651,43,manual_figure_line_center
HM,0.6644927536231883,24548.96907216495,657,30.5,manual_figure_line_center
